,,,,,,,,,,,,,,,,,,,,,,,,,
,,民政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,03,,,,,,,,"00030000000
民政處主管",,"190,760",,,"192,969",,"167,206",,"-2,209",,,,,,
,,,,001,,,,,,"　00030010000
　嘉義縣太保市戶政
　事務所",,"12,488",,,"12,462",,"11,244",,26,,,,,,
,,,,,,01,,,,"　　33030010100
　　一般行政",,"10,837",,,"10,831",,"9,859",,6,,,,,,
,,,,,,,,01,,"　　　33030010101
　　　行政管理",,"10,837",,,"10,831",,"9,859",,6,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費10,630千元
　　業務費177千元
　　獎補助費30千元
三、本年度預算數與上年度比較：
　　增加 6千元
　　增列 獎補助費6千元
四、本科目增減項目如下:
增列獎勵及慰問6千元。
",,,
,,,,,,02,,,,"　　33030011000
　　戶政業務",,"1,651",,,"1,631",,"1,385",,20,,,,,,
,,,,,,,,01,,"　　　33030011001
　　　戶政業務",,"1,651",,,"1,631",,"1,385",,20,,,"一、本科目包括戶政業務
二、本年度預算數包括:
　　人事費127千元
　　業務費1,524千元
三、本年度預算數與上年度比較：
　　增加 20千元
　　增列 業務費20千元
四、本科目增減項目如下:
1.增列兼職費18千元。
2.增列物品1千元。
3.增列一般事務費3千元。
4.減列車輛及辦公器具養護費2千元。
",,,
,,,,002,,,,,,"　00030020000
　嘉義縣朴子市戶政
　事務所",,"14,127",,,"14,735",,"12,976",,-608,,,,,,
,,,,,,01,,,,"　　33030020100
　　一般行政",,"11,924",,,"12,532",,"11,090",,-608,,,,,,
,,,,,,,,01,,"　　　33030020101
　　　行政管理",,"11,924",,,"12,532",,"11,090",,-608,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費11,752千元
　　業務費142千元
　　獎補助費30千元
三、本年度預算數與上年度比較：
　　減少 608千元
　　減列 人事費596千元
　　減列 獎補助費12千元
四、本科目增減項目如下:
1.減列法定編制人員待遇456千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,民政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"2.減列獎金40千元。
3.減列其他給與16千元。
4.增列加班值班費15千元。
5.減列退休離職儲金54千元。
6.減列保險45千元。
7.減列獎勵及慰問12千元。
",,,
,,,,,,02,,,,"　　33030021000
　　戶政業務",,"2,203",,,"2,203",,"1,886",,-,,,,,,
,,,,,,,,01,,"　　　33030021001
　　　戶政業務",,"2,203",,,"2,203",,"1,886",,-,,,"一、本科目包括戶政業務
二、本年度預算數包括:
　　人事費156千元
　　業務費2,047千元
",,,
,,,,003,,,,,,"　00030030000
　嘉義縣布袋鎮戶政
　事務所",,"10,989",,,"11,011",,"9,650",,-22,,,,,,
,,,,,,01,,,,"　　33030030100
　　一般行政",,"9,258",,,"9,264",,"8,196",,-6,,,,,,
,,,,,,,,01,,"　　　33030030101
　　　行政管理",,"9,258",,,"9,264",,"8,196",,-6,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費9,113千元
　　業務費115千元
　　獎補助費30千元
三、本年度預算數與上年度比較：
　　減少 6千元
　　減列 獎補助費6千元
四、本科目增減項目如下:
減列獎勵及慰問6千元。
",,,
,,,,,,02,,,,"　　33030031000
　　戶政業務",,"1,731",,,"1,747",,"1,454",,-16,,,,,,
,,,,,,,,01,,"　　　33030031001
　　　戶政業務",,"1,731",,,"1,747",,"1,454",,-16,,,"一、本科目包括戶政業務
二、本年度預算數包括:
　　人事費130千元
　　業務費1,601千元
三、本年度預算數與上年度比較：
　　減少 16千元
　　減列 業務費16千元
四、本科目增減項目如下:
1.減列通訊費6千元。
2.減列資訊服務費10千元。
",,,
,,,,004,,,,,,"　00030040000
　嘉義縣大林鎮戶政
　事務所",,"11,790",,,"11,762",,"9,998",,28,,,,,,
,,,,,,01,,,,"　　33030040100
　　一般行政",,"10,282",,,"10,272",,"8,672",,10,,,,,,
,,,,,,,,01,,"　　　33030040101
　　　行政管理",,"10,282",,,"10,272",,"8,672",,10,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費10,140千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,民政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"　　業務費130千元
　　獎補助費12千元
三、本年度預算數與上年度比較：
　　增加 10千元
　　增列 獎補助費10千元
四、本科目增減項目如下：
增列獎勵及慰問10千元。
",,,
,,,,,,02,,,,"　　33030041000
　　戶政業務",,"1,508",,,"1,490",,"1,326",,18,,,,,,
,,,,,,,,01,,"　　　33030041001
　　　戶政業務",,"1,508",,,"1,490",,"1,326",,18,,,"一、本科目包括戶政業務
二、本年度預算數包括:
　　人事費130千元
　　業務費1,378千元
三、本年度預算數與上年度比較：
　　增加 18千元
　　增列 業務費18千元
四、本科目增減項目如下：
增列兼職費18千元。
",,,
,,,,005,,,,,,"　00030050000
　嘉義縣民雄鄉戶政
　事務所",,"18,732",,,"18,744",,"16,895",,-12,,,,,,
,,,,,,01,,,,"　　33030050100
　　一般行政",,"15,816",,,"15,828",,"14,308",,-12,,,,,,
,,,,,,,,01,,"　　　33030050101
　　　行政管理",,"15,816",,,"15,828",,"14,308",,-12,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費15,591千元
　　業務費165千元
　　獎補助費60千元
三、本年度預算數與上年度比較：
　　減少 12千元
　　減列 獎補助費12千元
四、本科目增減項目如下:
減列獎勵及慰問12千元。
",,,
,,,,,,02,,,,"　　33030051000
　　戶政業務",,"2,916",,,"2,916",,"2,587",,-,,,,,,
,,,,,,,,01,,"　　　33030051001
　　　戶政業務",,"2,916",,,"2,916",,"2,587",,-,,,"一、本科目包括戶政業務
二、本年度預算數包括:
　　人事費205千元
　　業務費2,711千元
",,,
,,,,006,,,,,,"　00030060000
　嘉義縣溪口鄉戶政
　事務所",,"6,667",,,"7,267",,"5,452",,-600,,,,,,
,,,,,,01,,,,"　　33030060100
　　一般行政",,"5,730",,,"6,330",,"4,622",,-600,,,,,,
,,,,,,,,01,,"　　　33030060101
　　　行政管理",,"5,730",,,"6,330",,"4,622",,-600,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費5,600千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 3,,,,,,,,,,,,,,,,,,,,,,,
